Industry Vertical,Sub Vertical,City  Location,Investors Name,Investment Type,Amount in USD
Consumer Internet,Self-Driven Car rental platform,New Delhi,"Kanodia family, Amit Banka",Seed Funding,
Consumer Internet,Online ticket booking platform,Bangalore,GVFL Ltd,Private Equity,"30,00,000"
Consumer Internet,Online Hotel aggregator & Booking platform,Gurgaon,"Accel Partners, RB Investments",Private Equity,"80,00,000"
Technology,GPS based SaaS Solutions,Ahmedabad,Undisclosed investors,Seed Funding,"3,00,000"
Consumer Internet,Online Working Capital Business Loans Platform,Ahmedabad,"Bertelsmann India Investments, Mayfield India, Saama Capital, India Quotient",Private Equity,"3,20,00,000"
Consumer Internet,Online Tax Filing Platform,New Delhi,Sanjeev Sinha,Seed Funding,"2,95,000"
Consumer Internet,Online Talent Discovery Platform for Kids,Hyderabad,Soniks Consulting,Seed Funding,
Consumer Internet,Online Blogging Platform,Bangalore,Undisclosed Investor,Seed Funding,
eCommerce,ECommerce SAAS Solutions,New Delhi,vCommission,Private Equity,"1,00,000"
Technology,Visual Content Marketing,Kolkata,Harsh Vardhan Hada,Seed Funding,"50,000"
Consumer Internet,Crowdfunding Platform,Mumbai,Piyush Jain,Seed Funding,
eCommerce,Online designer jewellery marketplace,Mumbai,"Uniqorn Ventures Fund, TV Mohandas Pai, S Somasegar",Private Equity,"15,00,000"
Consumer Internet,Online/ Mobile Tax Cab booking,Mumbai,Brand Capital,Private Equity,"2,50,00,000"
Consumer Internet,Student focussed Content Discovery portal,Bangalore,Aarin Capital,Seed Funding,"2,20,000"
Consumer Internet,Online Mutual Fund Investment platform,Bangalore,"Omidyar Network, Accel Partners & existing investors",Private Equity,
Food & Beverage,QSR Chain,Gurgaon,Carpediem Capital & Others,Private Equity,"3,68,000"
Consumer Internet,Mobile based Vehicle maintenance App,Mumbai,"Niloufer Dundh, Fauzan Rahim, Balamurugan Mani,",Seed Funding,
Technology,Parking Technology Platform,New Delhi,The Chennai Angels,Seed Funding,"3,76,000"
Consumer Internet,Health Service Aggregator Platform,Pune,Ankush Mehta,Seed Funding,"1,45,000"
Technology,Agri Data & Analytics Platform,Chennai,StartupXseed Ventures,Seed Funding,
Consumer Internet,Mobile & Digital Wallet,Gurgaon,"GMO Payment Gateway, MediaTek",Private Equity,"5,00,00,000"
Consumer Internet,Career Planning Services Portal,New Delhi,Brand Capital,Private Equity,
Consumer Internet,Online Recruitment Platform,Bangalore,Undisclosed investors,Seed Funding,"2,50,000"
Consumer Internet,Online Food Delivery platform,Vadodara,Undisclosed investors,Seed Funding,
Consumer Internet,Car driver Discovery App,Mumbai,"Shruth & Smith Group, Hermes Group",Seed Funding,"1,80,000"
Education,Competitive Exam learning platform,Mumbai,Blume Ventures,Private Equity,
Consumer Internet,Road Trip planning Mobile app,Mumbai,"Rohan Angrish, Hrishi Oberoi, Rahul Mehta, Kapil Hetamsaria, Pranav Dedhia",Seed Funding,"2,00,000"
eCommerce,Eyewear & Accessories etailer,New Delhi,"International Finance Corp, TPG Growth, Adveq Management, IDG Ventures, Ratan Tata, Kris Gopalakrishnan",Private Equity,"6,00,00,000"
Technology,Enterprise Security Technology platform,Mumbai,"Sistema Asia Fund, Helion Venture, VentureEast, India Alternatives",Private Equity,"1,20,00,000"
Technology,Solar Rooftop system installation company,Chennai,Grex.in,Seed Funding,"2,00,000"
Technology,Telecom & Media IT services company,Pune,Grex.in,Seed Funding,"2,00,000"
eCommerce,Medical Supplies eTailer,Hyderabad,Undisclosed investors,Seed Funding,"1,50,000"
Technology,Intelligent Tech platform for Finance vertical,Singapore,Kalaari Capital Accelerator Program,Seed Funding,"5,00,000"
Technology,Affordable non-emergency medical service health plans,New Delhi,Kalaari Capital Accelerator Program,Seed Funding,"5,00,000"
Consumer Internet,Web Video Streaming Platform,Bangalore,Kalaari Capital Accelerator Program,Seed Funding,"5,00,000"
Technology,eCommerce product discovery software,New Delhi,"IDG Ventures, Inventus Capital, Indian Angel Network",Private Equity,
Consumer Internet,Cloud Based Software Solutions,Bangalore,Group of undisclosed Angel Investors & HNIs,Seed Funding,"3,75,000"
Education,Education Workshops & mentoring programs,Lucknow,MoMagic Technologies,Private Equity,"10,00,000"
eCommerce,Social commerce platform,Bangalore,Rajul Garg & Others,Seed Funding,
Logistics,Logistics and Warehousing services,Hyderabad,Undisclosed investors,Seed Funding,"75,000"
Technology,Logistics Intelligence platform,Bangalore,"Exfinity Venture Partners, Blume Ventures, BeeNext, Rajesh Ranavat",Private Equity,"27,50,000"
Consumer Internet,Children\\xe2\\x80\\x99s Entertainment Portal,Bangalore,"Roopak Saluja, Vishal Khare",Seed Funding,"4,50,000"
eCommerce,"Furniture, appliances Portal",New Delhi,"Manish Kheterpal, Vinay Mittal, Dinesh Mittal, Sandeep Gupta",Seed Funding,"2,50,000"
Consumer Internet,Health & Fitness App,Bangalore,"IDG Ventures India, Inventus Capital, Blume Ventures",Private Equity,"60,00,000"
Consumer Internet,Conversion Rate Optimization Platform,Chennai,"Accel Partners, Matrix Partners, Girish Mathrubootham",Private Equity,"15,00,000"
Technology,Clean Water Technology,Chennai,NanoHoldings,Private Equity,"1,80,00,000"
eCommerce,School Uniform & Supplies Marketplace,Mumbai,Undisclosed investors,Seed Funding,"15,00,000"
Consumer Internet,Food Delivery Platform,Bangalore,"Norwest Venture Partners, DST Global, Accel Partners",Private Equity,"70,00,000"
Consumer Internet,Home rental Discovery & Booking Portal,Bangalore,Undisclosed Investors,Private Equity,"9,00,000"
Consumer Internet,Online Peer to Peer Lending platform,Gurgaon,"JM Financial Products Ltd, Arun Tadanki, Doreswamy Nandkishore, Kshitij Jain",Private Equity,
Technology,Data Analytics Company,Mumbai,Khazanah Nasional Berhad,Private Equity,"10,00,00,000"
Consumer Internet,Free Online Education Platform,Bangalore,"Blume Ventures, Rajan Anandan, Sumit Jain, Aprameya Radhakrishna, Sujeet Kumar, Phanindra Sama",Seed Funding,"5,00,000"
Consumer Internet,Online Lending Platform,Bangalore,"Creation Investments Capital Management, SAIF Partners, Sequoia Capital, Aspada Ventures",Private Equity,"2,50,00,000"
Healthcare,Senior Healthcare Services,Hyderabad,GROUPE SOS,Private Equity,"1,50,000"
Consumer Internet,Online Crowdfunding platform,Jaipur,"Rakesh Gupta, Aditya Aggarwal, Siddharth Banerjee, Vikas Ranjan, Anshul Jindal, Sunil Koul, and Sanjeev Agrawal",Seed Funding,
Consumer Internet,Hindi social networking portal,Kanpur,ah! Ventures,Seed Funding,
Consumer Internet,Visual Content Discovery platform,Bangalore,"Phanindra Sama, Raghunandan G,",Seed Funding,
Logistics,Carpooling Services,Gurgaon,Anurag Chauhan,Seed Funding,
Consumer Internet,Budget Room Aggregator Booking platform,Chennai,"Matrix Partners, Nexus Ventures",Private Equity,"1,35,00,000"
Logistics,E-Commerce Logistics Solutions,Mumbai,Undisclosed Investors & Tamarind Family Private Trust,Private Equity,"22,00,000"
eCommerce,Smart Learning products,Delhi,"S Chand, AdvantEdge Partners",Private Equity,"10,00,000"
Consumer Internet,Home Decor eMarketplace,Mumbai,"Kinnevik Group, Rocket Internet",Private Equity,
Consumer Internet,Medical Emergency Response App,Mumbai,Rata Tata,Private Equity,
Consumer Internet,Mobile customer rewards management platform,Gurgaon,"Undisclosed investors, Accel Partners, Helion Venture Partners",Private Equity,
eCommerce,Apparel Rental platform,Mumbai,"Anupam Mittal, Anuj Srivastava, Ankit Nagori",Seed Funding,
Consumer Internet,Food Ordering Mobile App,Bangalore,YourNest Angel Fund,Seed Funding,"2,50,000"
Consumer Internet,Online health-on-demand platform,Trivandrum,Katabole Technology Venture,Seed Funding,"1,00,000"
Education,Aptitude Development Program,Pune,Subramanya SV,Seed Funding,
Education,Online Certification Courses,Mumbai,"Kaizen Management Advisors, DeVry Inc",Private Equity,"1,00,00,000"
Reality,Co-Working Spaces,Bangalore,Blume Ventures,Private Equity,"10,00,000"
Consumer Internet,Parenting & Child Care app,Bangalore,"Sujeet Kumar, Aprameya, Sumit Jain, Subramanya Venkat, Venk, Ravi Machani, Hitesh Gupta, Rohit Choudhary",Seed Funding,
Consumer Internet,Location-based offline retail discovery platform,Mumbai,Undisclosed investors,Seed Funding,"10,00,000"
Technology,Artificial Intelligence Platform,Bangalore,Ratan Tata,Private Equity,
Consumer Internet,Cab Aggregating Platform,New Delhi,Undisclosed HNIs,Seed Funding,"5,00,000"
Consumer Internet,On Demand Digital Sports Network,New Delhi,"Chatsworth Management, ITW Digital",Seed Funding,"5,00,000"
Consumer Internet,Online Peer to Peer Funding,Noida,Undisclosed Investors,Seed Funding,"3,00,000"
Consumer Internet,Online Learning Platform,Gurgaon,Pradeep Reddy Kamasan,Seed Funding,
Consumer Internet,Fashion Discovery platform,New Delhi,vCommission,Seed Funding,"89,000"
Consumer Internet,Food Delivery Platform,Gurgaon,MCube Capital Advisors Pvt Ltd,Seed Funding,
Consumer Internet,Online investment platform,Bangalore,Undisclosed HNIs,Seed Funding,"10,00,000"
Consumer Internet,Mobile entertainment App,New Delhi,Indian Angel Network,Seed Funding,
Healthcare,Pediatric Primary Healthcare Network,Bangalore,Gray Matters Capital,Private Equity,"15,00,000"
Technology,Mobility Devices for differently abled,Pune,Sudhir Mehta,Seed Funding,"1,00,000"
Consumer Internet,Digital platform for Women,New Delhi,Anand Mahindra,Seed Funding,
Consumer Internet,Online Income Tax Filing platform,Bangalore,"FF Angel, Sequoia Capital",Private Equity,"20,00,000"
Healthcare,Medical Devices Kit manufacturer,New Delhi,"Accel Partners, Indian Angel Network, India Innovation Fund India Venture Partners",Private Equity,
Consumer Internet,Celebrity Entertainment Contest App,New Delhi,MoMagic Technologies,Seed Funding,"4,75,000"
Consumer Internet,Online healthcare service discovery platform,Bangalore,"Kunal Shah, Sandeep Tandon",Seed Funding,
Technology,Safe driving Analytics platform,Mumbai,"Anirudh Damani, Vikram Lakhotia",Seed Funding,"2,00,000"
Consumer Internet,Location based Sports & Fitness Discovery App,New Delhi,Ashish Gupta and other undisclosed investors,Seed Funding,
eCommerce,Apparel & Lifestyle eTailer,New Delhi,HT Media Ltd,Private Equity,"44,00,000"
Consumer Internet,Payment Gateway,Mumbai,NSI Infinium Global Pvt. Ltd,Private Equity,"89,00,000"
eCommerce,Online Pharmacy,Gurgaon,HBM Healthcare Investments,Private Equity,
Food & Beverage,QSR Chain,Gurgaon,Ashish Gupta,Seed Funding,
Consumer Internet,Hyperlocal Advertising Platform,Mumbai,Undisclosed Investors,Seed Funding,"1,75,000"
Consumer Internet,Matchmaking Mobile App,SFO / Bangalore,"Nelstone Ventures, Transmedia Capital, Maiden Lane Ventures, CSC Upshot & Angel investors",Private Equity,"27,00,000"
Consumer Internet,Online Marketplace for Photographers,Delhi,Raman Roy,Seed Funding,
Consumer Internet,online translation and transliteration,Gurgaon,"Indian Angel Network, Alok Sharma, Kris Gopalakrishnan, Saurabh Srivastava, and Ajai Chowdhry",Seed Funding,
Consumer Internet,Real Estate Portal,Mumbai,Vineet Singh,Private Equity,
Food & Beverage,Rolls & Biryanis QSR chain,Pune,Equentia Natural Resource & Other undisclosed investors,Seed Funding,
Consumer Internet,Digital Media Entertainment Portal,Mumbai,Xiaomi Inc,Private Equity,"2,50,00,000"
Consumer Internet,Various Highway Help Services,Bangalore,N.S. Raghavan Centre for Entrepreneurial Learning,Seed Funding,
Healthcare,Healthcare training programs,Bangalore,Mukesh Bansal,Seed Funding,
Technology,Personal Assistant App,Mumbai,Times Internet Ltd,Private Equity,
Consumer Internet,Gadget & Appliances Service App,Mumbai,"Blume Ventures, Barkawi Holdings GmbH, TM Service Technology Holdings GmbH",Private Equity,
Logistics,Logistics Solutions,Gurgaon,DTDC Express Ltd,Private Equity,"10,00,000"
Consumer Internet,Online bike service and repairs platform,Bangalore,Ninestarter,Seed Funding,"5,00,000"
Consumer Internet,Mobile based on-demand Beauty Services platform,Mumbai,L\\xe2\\x80\\x99Occitane,Private Equity,"60,00,000"
Consumer Internet,Online Food Delivery Platform,Bangalore,Axilor Ventures,Private Equity,"10,00,000"
Consumer Internet,Mobile Gaming Studio,London,Nazara Technologies Pvt Ltd,Private Equity,
Consumer Internet,"Curated Food, event & Lifestyle guide",New Delhi,"IDG, Indian Angel Network",Seed Funding,
Education,Mobile Education Platform,Chennai,Villgro,Seed Funding,
Consumer Internet,Online Health Diagnosis platform,New Delhi,"Mahendra Patel, Nilender Chauhan",Seed Funding,"40,000"
Consumer Internet,Social discovery platform,Mumbai,Rattan Chadha,Seed Funding,"2,00,000"
eCommerce,Online Fruit & Vegetable Marketplace,New Delhi,Wingify,Seed Funding,
Consumer Internet,Online Branded Budget Room Booking Service,New Delhi,"Softbank, Sequoia Capital, Lightspeed Venture Partners, Greenoaks Capital, DSG Consumer Partners and Venture Nursery",Private Equity,"10,00,00,000"
Consumer Internet,Price Comparison Portal,Gurgaon,Prashant Puri,Seed Funding,"3,00,000"
Consumer Internet,On-Demand Task Management App,Bangalore,"Kris Gopalakrishnan, Dr. Ranjan Pai",Seed Funding,"10,00,000"
Consumer Internet,Artist Discovery & Booking platform,Mumbai,Shaan,Seed Funding,
Finance,Peer-to-Peer Lending Platform,Mumbai,"Anirudh Damani, Daud Ali, Narendra Karnavat, Vikas Kapoor, Vikram Lakhotia, Krishna Jhunjhunwaala, Jayesh Shah",Seed Funding,
Consumer Internet,Video Social Network,,Anil Kapoor,Seed Funding,
Consumer Internet,Online legal Services for Startups,New Delhi,"Pravin Khandelwal, Yatin Kumar Jain",Seed Funding,"10,00,000"
Consumer Internet,Subscription-based grocery delivery Mobile App,Pune,Dr. Aniruddha Malpani,Seed Funding,"1,50,000"
eCommerce,Fashion ECommerce App,Mumbai,"Dr. Sridhar Ramaswamy, Rakesh Mathur",Seed Funding,"2,50,000"
eCommerce,Invoice discounting\\xc2\\xa0 Marketplace,Bangalore,"Prime Venture Partners,",Seed Funding,"7,50,000"
Consumer Internet,Wedding related services community,New Delhi,StartUp Equity Partners,Seed Funding,
Technology,contextual mobile advertising,Mumbai,"Rajeev Agrawal, Prashant Gooty",Seed Funding,"1,00,000"
Consumer Internet,Loan Comparison Portal,Noida,"Ram Shriram, Neeraj Arora, Puru Vashishtha",Seed Funding,
Consumer Internet,Online Car & Bike Insurance Comparison portal,New Delhi,Mount Nathan Advisors,Seed Funding,"10,00,000"
Consumer Internet,Online Tech Portals,Jaipur,"Mahavir Pratap Sharma, Ajay Data, Yogesh Chaudhary, Sanjay Phophaliya, Siddharth Agarwal, Kamal Kothari",Seed Funding,
Consumer Internet,On-Demand Beauty Service provider,New Delhi,Naturals Salon Chain,Private Equity,"1,50,00,000"
eCommerce,Marketplace for organic products,Jaipur,"Vivek Nathani, Yogesh Chaudhary, Mahavir Pratap Sharma, Kamal Kothari, H C Jain",Seed Funding,
Consumer Internet,Car Rental Software,Noida,Undisclosed Investors,Seed Funding,
Consumer Internet,Furnished Home Rental Platform,Bangalore,Tiger Global,Private Equity,"3,00,00,000"
Consumer Internet,Expert Advice Platform,Bangalore,Vijay Shekhar Sharma,Seed Funding,"1,50,000"
Consumer Internet,Bike Aggregator App,Bangalore,"Pawan Munjal, AdvantEdge Partners, Astarc Ventures",Private Equity,
eCommerce,Women\\xe2\\x80\\x99s Fashion ECommerce Portal,Bangalore,Ajay Data & other HNIs,Seed Funding,
eCommerce,Online Discovery and Shopping Platform,Gurgaon,Rajan Anandan,Seed Funding,
Consumer Internet,interior design and home furnishing portal,Jaipur,"Mitin Patel, Gaurav Agarwal",Seed Funding,
Consumer Internet,On-demand Delivery & Logistics platform,Chandigarh,Paytm & existing investors,Private Equity,"1,00,00,000"
Auto,Electric Motorcycle Manufacturer,Pune,"Bhavish Aggarwal, Ankit Bhati",Seed Funding,
eCommerce,customer intelligence and marketing automation platform,Noida,"Stanford Angels, LetsVenture, Chennai Angels, Hyderabad Angels, Mumbai Angels",Private Equity,"15,00,000"
Consumer Internet,on-demand chauffeur provider,Chennai,ah! Ventures,Seed Funding,"4,50,000"
eCommerce,Eyewear etailing platform,New Delhi,Ratan Tata,Private Equity,
Consumer Internet,College & Student information platform,New Delhi,Man Capital,Private Equity,"20,00,000"
Consumer Internet,Fitness Services Aggregator platform,Bangalore,RN Agarwal,Seed Funding,
Consumer Internet,Online exam practice & preparation platform,Bangalore,India Educational Investment Fund,Private Equity,
Consumer Internet,Online certification platform,Bangalore,Brand Capital,Private Equity,
eCommerce,Online Pharmacy,Gurgaon,"Maverick Capital Ventures, Sequoia Capital, Omidyar Network",Private Equity,"1,50,00,000"
Consumer Internet,Fashion and Store discovery mobile app,New Delhi,"YourNest Angel Fund, Rajul Garg",Seed Funding,
Consumer Internet,Cleaning Services Provider,New Delhi,Undisclosed Angel investors & HNIs,Seed Funding,
Consumer Internet,Loyalty rewards platform,Mumbai,"Blume Ventures, Adil Allana, Aprameya Radhakrishna, Gautam Ivatury, Signal Point Partners",Seed Funding,
eCommerce,hyperlocal fashion retail platform,Jaipur,Ajay Data & undisclosed HNIs,Seed Funding,
Consumer Internet,"Style, Fashion Discovery Mobile app",New Delhi,"M&Y Partners, SVG Media, Anthil Ventures & others",Seed Funding,
Auto,Automotive Design and Engineering company,Bangalore,GirnarSoft,Private Equity,
eCommerce,Mobile based Meat ordering App,Bangalore,Mayfield India II Management Ltd,Private Equity,"30,00,000"
